id;label;Lat;Lng;timeZone
1278708;Amroha - IN;28.90314; 78.46984;Asia/Kolkata
1854487;Oita - JP;33.23333; 131.6;Asia/Tokyo
1167460;Rahim Yar Khan - PK;28.41987; 70.30345;Asia/Karachi
2035225;Fendou - CN;46.64142; 124.86283;Asia/Shanghai
3470858;Barbacena - BR;-21.22583; -43.77361;America/Sao_Paulo
1255062;Tambaram - IN;12.9246; 80.12707;Asia/Kolkata
5110266;The Bronx - US;40.84985; -73.86641;America/New_York
1024694;Mocuba - MZ;-16.8375; 36.98556;Africa/Maputo
1715348;Davao - PH;7.07306; 125.61278;Asia/Manila
1810821;Fuzhou - CN;26.06139; 119.30611;Asia/Shanghai
634963;Tampere - FI;61.49911; 23.78712;Europe/Helsinki
1787093;Yantai - CN;37.47649; 121.44081;Asia/Shanghai
1818116;Anbu - CN;23.44895; 116.68092;Asia/Shanghai
2522013;Algeciras - ES;36.13326; -5.45051;Europe/Madrid
4347778;Baltimore - US;39.29038; -76.61219;America/New_York
1633419;Padang - ID;-0.94924; 100.35427;Asia/Jakarta
1270239;Hassan - IN;13.00715; 76.0962;Asia/Kolkata
3897347;Calama - CL;-22.45667; -68.92371;America/Santiago
1788572;Xinxiang - CN;35.19033; 113.80151;Asia/Shanghai
1514019;Fergana - UZ;40.38421; 71.78432;Asia/Tashkent
1626899;Singosari - ID;-7.8924; 112.6658;Asia/Jakarta
2306104;Accra - GH;5.55602; -0.1969;Africa/Accra
1274553;Chas - IN;23.63556; 86.16712;Asia/Kolkata
1278840;Ambattur - IN;13.09818; 80.16152;Asia/Kolkata
2348595;Azare - NG;11.67478; 10.19069;Africa/Lagos
578740;Bataysk - RU;47.13975; 39.75181;Europe/Moscow
964349;Potchefstroom - ZA;-26.71667; 27.1;Africa/Johannesburg
3460728;Itapetininga - BR;-23.59167; -48.05306;America/Sao_Paulo
3471715;Araruama - BR;-22.87278; -42.34306;America/Sao_Paulo
2661604;Basel - CH;47.55839; 7.57327;Europe/Zurich
2111149;Sendai - JP;38.26667; 140.86667;Asia/Tokyo
9166066;Mlolongo - KE;-1.39639; 36.94028;Africa/Nairobi
6621166;Seogwipo - KR;33.25333; 126.56181;Asia/Seoul
5134086;Rochester - US;43.15478; -77.61556;America/New_York
3445451;Varzea Grande - BR;-15.64667; -56.1325;America/Cuiaba
217695;Bunia - CD;1.55941; 30.25224;Africa/Lubumbashi
4756955;East Hampton - US;37.03737; -76.33161;America/New_York
670474;Ploiesti - RO;44.95; 26.01667;Europe/Bucharest
1282027;Male - MV;4.17521; 73.50916;Indian/Maldives
479123;Ulyanovsk - RU;54.32824; 48.38657;Europe/Ulyanovsk
361058;Alexandria - EG;31.20176; 29.91582;Africa/Cairo
4460243;Charlotte - US;35.22709; -80.84313;America/New_York
2532945;Sidi Slimane - MA;34.26479; -5.92598;Africa/Casablanca
3458131;Mairipora - BR;-23.31861; -46.58667;America/Sao_Paulo
3726786;Delmas 73 - HT;18.54472; -72.30278;America/Port-au-Prince
1258662;Ramgundam - IN;18.80084; 79.45206;Asia/Kolkata
2416402;Kamsar - GN;10.65; -14.61667;Africa/Conakry
3515062;Tulancingo - MX;20.08355; -98.36288;America/Mexico_City
4719457;Plano - US;33.01984; -96.69889;America/Chicago
3909234;Oruro - BO;-17.98333; -67.15;America/La_Paz
1529046;Xinyuan - CN;43.42649; 83.24959;Asia/Urumqi
169389;Idlib - SY;35.93062; 36.63393;Asia/Damascus
3523349;Merida - MX;20.97537; -89.61696;America/Merida
3033123;Besancon - FR;47.24878; 6.01815;Europe/Paris
